DirectorId,DirectorName
15596,Peter John Ross
33491,Shankar Ramakrishnan
14233,Alison Peebles
25135,Ravi C. Kumar
34117,Majeed Abu
5502,Robert Harmon
31338,Haydar Isik
7960,Eric Khoo
20175,Umberto Riccioni Carteni
23091,Ieroklis Michaelidis
30664,Nadège Loiseau
1635,Joseph Sterling
23518,Natalya Uglitskikh
12512,Savas Ay
18251,Neil McCurry
28518,Ajala Bandele
8057,Heddy Honigmann
20371,Argyris Papadimitropoulos
7318,Mike Sedan
15033,Joseph Castelo
23442,Larry Wade Carrell
26404,Daniele Grieco
12240,Jiashan Mi
33122,Alena Lodkina
31122,Jean-Christophe Meurisse
25006,Kwang-kyo Jin
21638,Andrew Thomas Hunt
25865,S. Prabhakaran
11935,Yoichiro Takahashi
25806,Adrian Molina
10157,Iren Koster
24116,Megan Clare Foster
30299,Sushanth Reddy
7496,J. Michael McClary
13644,Alejandro Rojas
13190,R.K. Selvamani
12441,Jordan Susman
21538,Linas Phillips
8320,Stephen Kijak
17324,David Nerlich
12411,Charlotte Sachs Bostrup
5687,Raymond Jafelice
12007,Tom Lazarus
838,Mario Soldati
8696,Félix Sabroso
34599,Matthew E. Rosen
9489,Burnie Burns
12576,Kevin Donovan
6552,Leonard Schrader
8693,Mimi Leder
20076,Kaushik Ghatak
6427,Barthélémy Bompard
29146,Lamberto Sanfelice
21807,Rafael Palacio Illingworth
34531,Kamal Khan
27766,Avinash Arun
20728,Waldemar Krzystek
16664,Alfonso Rodríguez
27274,Cristina Jacob
19309,Kamil Aydin
28391,Chad L. Scheifele
16756,Jirí Strach
22316,Paul Cranefield
24624,Tariq Nasheed
30047,Sarah Rotella
26120,Ádám Császi
29422,Davis Simanis Jr.
25835,Lakshmi Ramakrishnan
32445,Ying-Ting Tseng
22921,S.P. Mahesh
14092,Benjamin Ratner
6462,Mike Ockrent
14928,Stephen Fung
20818,Adis Bakrac
16865,F. Javier Gutiérrez
10570,Mitch Hedberg
10980,Lee Stanley
29352,Matt Lofgren
14873,Rodney Henson
17530,Robert Milazzo
22960,Scott Moore
7640,Ana Kokkinos
2195,Carl Foreman
18240,Sang-chan Kim
10146,Guido Henderickx
17029,D. Edward Stanley
31331,Edgardo Castro
19291,Ravi Kiran Kola
15174,Denis Thybaud
14455,Edward Martin III
15266,Benjamin Eicher
23938,Paula de Luque
13449,Klaus Härö
23556,Ryan Coogler
32092,Timothy McNeil
20250,Jerry Schram
30311,Brandon Moore
2129,Boris Sagal
11617,Kader Ayd
15700,Changwei Gu
9768,John Marino
32350,Dylan Brown
3659,Yvan Chiffre
19879,Michel Côté
4764,Subhash Ghai
14282,Shira-Lee Shalit
30027,Laura Mulleavy
15014,Xawery Zulawski
8443,Michael Deak
3386,Jeannot Szwarc
15702,Kaaren Kaer
7188,Sinan Çetin
12353,Roman Vávra
2810,Humberto Solás
34259,Daniel Markowicz
23384,Judith Kaufmann
6394,Paul Madden
23673,Enrique Pérez Him
5666,Ali Abdel-Khalek
14320,Ken Jacobs
12616,Rod Slane
34464,Cesar Diaz
22540,Vikramaditya Motwane
24506,Diego Joaquin Lopez
12997,Jack Neo
22077,Juana Macías
6812,Larry Fessenden
20456,Rob Diamond
9829,Hugh Johnson
9026,Jevon O'Neill
17084,John Krasinski
21782,Thiagarajan Kumararaja
22866,Rick Alverson
32122,Caye Casas
31392,Deddy Corbuzier
30432,Rachel Israel
3446,Juan Fortuny
27922,Robert Cannon
20970,Jules Stewart
34537,Shivkumar Parthasarathy
7260,Francis von Zerneck
34112,Savas Ceviz
30389,Bob Place
13275,Mark Rucker
8943,Tim Boxell
12837,Peter N. Johnson
7918,Stephen Quay
17706,Takehiko Shinjo
19226,Rajasekhar Reddy
22906,Jakob Ziemnicki
15633,John Huff
10295,Raymond Burlet
24327,Derrick Sims
33600,Sarjun
20039,Koichi Sakamoto
17135,Grojo
20874,Martin Zandvliet
11498,Cory McAbee
11702,Rolando Klein
7398,Thomas Robsahm
28868,William Collins
27841,Rakshit Shetty
30879,Jack Spring
32309,Abbas Ahmadi Motlagh
26581,Mathieu Seiler
1811,Andrei Tarkovsky
1904,Stuart Burge
33265,Will Ashurst
18242,Seong-gyun Park
15754,Zack Parker
26657,Billy 'Bloody Bill' Pon
27539,Kaarin Fairfax
12195,Mira Lesmana
4771,Tana Kaleya
29677,Sasha Louis Vukovic
23820,Joaquín Bissner
18635,Roberto Artiagoitía
9692,Tim Hill
6078,Július Matula
8356,Michael Haussman
10566,Rubén Galindo Jr.
23033,Ryan McKenna
15860,Daniel Zirilli
2389,Richard Benedict
14354,Uros Stojanovic
11739,Emmett Malloy
145,Joe May
16277,Rossana Foglia
702,Wyndham Gittens
8796,Tony Kaye
19810,Jack Serino
30023,Hadi Mohammadian
4741,Kurt Raab
2234,Harold Lea
7759,Cheol-su Park
29951,Bob Persichetti
31917,Morgan Dameron
12757,Ratiborka Ceramilac
17610,Adam Martin
24064,Nicholas David Brandt
27104,Igor Cobileanski
5729,Gérard Mordillat
5117,Thomas A. Cohen
25166,David 'Tosh' Gitonga
17491,David VonAllmen
25348,Van Ling
3421,Robert Lamoureux
10676,Rachel Gordon
8668,Jennifer Leitzes
31521,Graham Skipper
3523,Paul Hunt
8002,Kevin Meyer
30026,Kate Mulleavy
3318,Lawrence Dobkin
29777,Thomas J. Churchill
19567,Ellen Seidler
20346,Joe Leonard
30142,Alberto G. Rodriguez
444,Jack Raymond
13638,Linus Torell
32469,Dan Gregor
27433,Yûichirô Sakashita
33382,Nick Rapuano
12438,Tony Ayres
22196,Leigh Dovey
25055,Franziska Schlotterer
33421,Steven Perez
241,Paul Sloane
4712,John Richardson
1874,Claude Alexander
26364,George Loomis
27828,Amariah Olson
31481,Ezra Tsegaye
6721,James Riffel
13387,Han Lee
25360,Johnathan Gurfinkel
28025,Pramod Payyanur
4704,Sándor Szönyi G.
15372,Dan Svátek
20046,Hong-jin Na
33462,Carol Damgen
13852,Rocco DeVilliers
14373,Vincent Rocca
14647,Shih-Ching Tsou
9986,Ernst Wild
16120,John Harlacher
19085,Arno Dierickx
5656,Priyadarshan
31197,Hong-jin Mo
16151,N. Krishna
19383,Joost van Hezik
14641,Christian Vuissa
7691,Scooter McCrae
23724,Peter Hutchings
8415,Stavros Kazantzidis
32184,Tae-hwa Eom
33623,Yuzuru Tachikawa
2549,Lou Campa
32206,Lei Yang
11596,Guy Fergusson
2376,Robert Sparr
18007,Barthélémy Grossmann
2476,Jorge Sanjinés
22298,Nick Lentz
27093,Daniel Augusto
24982,Sebastian Bartolitius
20764,Sastry Ajay
14358,David B. Stewart III
12854,Ashok Mehta
24566,Robin Lough
2144,Edwin Zbonek
13999,Ivo Trajkov
29789,Preston Peterson
22710,Vicente Villanueva
5300,Mel Damski
24225,George D. Escobar
12051,Christopher Panov
20809,Che Sandoval
28460,P. Arokiyadoss
16299,Bingjian Zhang
18930,Adrian Sitaru
2462,Henning Carlsen
18014,Yuliy Gusman
8601,Mark Waters
16528,Anna Kazejak
33184,Giselle Andres
15536,Martin Jern
18699,Alon Gur Arye
26983,Devika Bhagat
21312,Jesse Holland
7019,Mohamed Malas
20280,Boyani Subbarao
11433,Bart Patton
20419,Seth Rogen
28036,J.Q. Lee
10518,Nikos Zervos
9651,Satoshi Kon
5584,Franco Amurri
21476,Tobias Lindholm
21479,Maria Beatty
20495,Dariusz Jablonski
1753,Ib Melchior
34149,Zach Lorkiewicz
25056,Sharon Bar-Ziv
18088,Manuel Sicilia
27060,Glenn Miller
5840,Steve Jodrell
9624,Alison Swan
8317,Hans-Christian Schmid
20762,Brandon Trost
4541,K. Balachander
12450,Lawrence Gay
27589,Dante
14394,Ian Gabriel
33302,Jacob Akira Okada
34144,Mushtaq Pasha
15433,Roshan Andrews
29920,Valentine
18965,Tôichirô Rutô
33131,Matthew Brown
26000,Keiko Tsuruoka
34035,Jean-Bernard Marlin
12008,Ilija Stanojevic-Cica
5152,James Foley
22553,John-Roger
3443,Yang-Ming Tsai
19515,Salvador Espinosa
30897,Shiv Mohaa
8187,Joseph Lawson
23145,Hristos Nikoleris
13621,Albert Ter Heerdt
18943,Cengiz Özkarabekir
21304,Andrey Khrzhanovskiy
29236,Stephen Biro
30019,Murat Senoy
8571,Lewis Baumander
15763,Christopher Weekes
4164,Robert S. Fiveson
25253,David Andalman
30856,Luo Luo
3936,Chi Lo
1341,Edoardo Anton
23378,Amiel Courtin-Wilson
32172,Coline Assous
18203,Vladimiros Kiriakidis
13305,Damian Nieman
14922,Ra'up McGee
7511,Mina Shum
33559,Jafar Akhundzade
20611,Bahadir Karatas
28424,Jim Lane
3051,Philip S. Gilbert
27620,Nathan Gabaeff
14820,Naoko Ogigami
12739,Stratos Tzitzis
16968,Sergey Nikonenko
18661,Bruno Garotti
18949,Lina Chamie
13246,S.A. Chandrashekhar
22012,Jeoff Hanser
33065,Arielle Dombasle
14447,Chazz Palminteri
23711,Yi-chi Lien
17221,Matthew Porterfield
33037,Ian Lagarde
33668,Martín Rodríguez Redondo
12542,Gabriela David
6046,Olli Soinio
26140,Juan Carlos Saizarbitoria
15091,Greg McLean
10159,Hitoshi Ozawa
31636,Sergio G. Sánchez
34376,Petr Kolecko
34200,Vladimir Nikolaev
12980,Marc Ickx
13668,Jannik Johansen
4864,Yigong Wu
9090,Jim Makichuk
7134,Alfredo Ringel
24018,Ramaa Mosley
17139,Mike Watt
10429,Narayana Rao Dasari
23197,Joel Fendelman
13797,Jingda Xu
31403,Stuart McKenzie
12717,Perry Andelin Blake
31641,Johnpaul George
33110,György Mór Kárpáti
29219,Ioneide Lima
26428,Anthony Wilcox
19350,Christian Johannesson
24078,Ajay Bhuyan
32059,Giannis Korres
30461,Yorgos Zois
21905,Robert Heath
33715,Anton Zenkovich
8704,Andrew Chapman
7956,John O'Brien
22154,Jourdan McClure
19243,Steven Peros
34060,Laura Madalinski
27849,Yûki Aoyama
30266,Jianrong Zhuo
26797,Jericca Cleland
4921,Junji Kurata
12715,Tae-gyun Kim
1969,Stanislaw Bareja
19445,Kieran Carney
20477,Thomas Woschitz
7195,Miroslav Lekic
15247,Hiroki Yamaguchi
21993,Jack Lucarelli
