DirectorId,DirectorName
15595,Peter John Ross
33490,Shankar Ramakrishnan
14232,Alison Peebles
25134,Ravi C. Kumar
34116,Majeed Abu
5501,Robert Harmon
31337,Haydar Isik
7959,Eric Khoo
20174,Umberto Riccioni Carteni
23090,Ieroklis Michaelidis
30663,Nadège Loiseau
1634,Joseph Sterling
23517,Natalya Uglitskikh
12511,Savas Ay
18250,Neil McCurry
28517,Ajala Bandele
8056,Heddy Honigmann
20370,Argyris Papadimitropoulos
7317,Mike Sedan
15032,Joseph Castelo
23441,Larry Wade Carrell
26403,Daniele Grieco
12239,Jiashan Mi
33121,Alena Lodkina
31121,Jean-Christophe Meurisse
25005,Kwang-kyo Jin
21637,Andrew Thomas Hunt
25864,S. Prabhakaran
11934,Yoichiro Takahashi
25805,Adrian Molina
10156,Iren Koster
24115,Megan Clare Foster
30298,Sushanth Reddy
7495,J. Michael McClary
13643,Alejandro Rojas
13189,R.K. Selvamani
12440,Jordan Susman
21537,Linas Phillips
8319,Stephen Kijak
17323,David Nerlich
12410,Charlotte Sachs Bostrup
5686,Raymond Jafelice
12006,Tom Lazarus
837,Mario Soldati
8695,Félix Sabroso
34598,Matthew E. Rosen
9488,Burnie Burns
12575,Kevin Donovan
6551,Leonard Schrader
8692,Mimi Leder
20075,Kaushik Ghatak
6426,Barthélémy Bompard
29145,Lamberto Sanfelice
21806,Rafael Palacio Illingworth
34530,Kamal Khan
27765,Avinash Arun
20727,Waldemar Krzystek
16663,Alfonso Rodríguez
27273,Cristina Jacob
19308,Kamil Aydin
28390,Chad L. Scheifele
16755,Jirí Strach
22315,Paul Cranefield
24623,Tariq Nasheed
30046,Sarah Rotella
26119,Ádám Császi
29421,Davis Simanis Jr.
25834,Lakshmi Ramakrishnan
32444,Ying-Ting Tseng
22920,S.P. Mahesh
14091,Benjamin Ratner
6461,Mike Ockrent
14927,Stephen Fung
20817,Adis Bakrac
16864,F. Javier Gutiérrez
10569,Mitch Hedberg
10979,Lee Stanley
29351,Matt Lofgren
14872,Rodney Henson
17529,Robert Milazzo
22959,Scott Moore
7639,Ana Kokkinos
2194,Carl Foreman
18239,Sang-chan Kim
10145,Guido Henderickx
17028,D. Edward Stanley
31330,Edgardo Castro
19290,Ravi Kiran Kola
15173,Denis Thybaud
14454,Edward Martin III
15265,Benjamin Eicher
23937,Paula de Luque
13448,Klaus Härö
23555,Ryan Coogler
32091,Timothy McNeil
20249,Jerry Schram
30310,Brandon Moore
2128,Boris Sagal
11616,Kader Ayd
15699,Changwei Gu
9767,John Marino
32349,Dylan Brown
3658,Yvan Chiffre
19878,Michel Côté
4763,Subhash Ghai
14281,Shira-Lee Shalit
30026,Laura Mulleavy
15013,Xawery Zulawski
8442,Michael Deak
3385,Jeannot Szwarc
15701,Kaaren Kaer
7187,Sinan Çetin
12352,Roman Vávra
2809,Humberto Solás
34258,Daniel Markowicz
23383,Judith Kaufmann
6393,Paul Madden
23672,Enrique Pérez Him
5665,Ali Abdel-Khalek
14319,Ken Jacobs
12615,Rod Slane
34463,Cesar Diaz
22539,Vikramaditya Motwane
24505,Diego Joaquin Lopez
12996,Jack Neo
22076,Juana Macías
6811,Larry Fessenden
20455,Rob Diamond
9828,Hugh Johnson
9025,Jevon O'Neill
17083,John Krasinski
21781,Thiagarajan Kumararaja
22865,Rick Alverson
32121,Caye Casas
31391,Deddy Corbuzier
30431,Rachel Israel
3445,Juan Fortuny
27921,Robert Cannon
20969,Jules Stewart
34536,Shivkumar Parthasarathy
7259,Francis von Zerneck
34111,Savas Ceviz
30388,Bob Place
13274,Mark Rucker
8942,Tim Boxell
12836,Peter N. Johnson
7917,Stephen Quay
17705,Takehiko Shinjo
19225,Rajasekhar Reddy
22905,Jakob Ziemnicki
15632,John Huff
10294,Raymond Burlet
24326,Derrick Sims
33599,Sarjun
20038,Koichi Sakamoto
17134,Grojo
20873,Martin Zandvliet
11497,Cory McAbee
11701,Rolando Klein
7397,Thomas Robsahm
28867,William Collins
27840,Rakshit Shetty
30878,Jack Spring
32308,Abbas Ahmadi Motlagh
26580,Mathieu Seiler
1810,Andrei Tarkovsky
1903,Stuart Burge
33264,Will Ashurst
18241,Seong-gyun Park
15753,Zack Parker
26656,Billy 'Bloody Bill' Pon
27538,Kaarin Fairfax
12194,Mira Lesmana
4770,Tana Kaleya
29676,Sasha Louis Vukovic
23819,Joaquín Bissner
18634,Roberto Artiagoitía
9691,Tim Hill
6077,Július Matula
8355,Michael Haussman
10565,Rubén Galindo Jr.
23032,Ryan McKenna
15859,Daniel Zirilli
2388,Richard Benedict
14353,Uros Stojanovic
11738,Emmett Malloy
144,Joe May
16276,Rossana Foglia
701,Wyndham Gittens
8795,Tony Kaye
19809,Jack Serino
30022,Hadi Mohammadian
4740,Kurt Raab
2233,Harold Lea
7758,Cheol-su Park
29950,Bob Persichetti
31916,Morgan Dameron
12756,Ratiborka Ceramilac
17609,Adam Martin
24063,Nicholas David Brandt
27103,Igor Cobileanski
5728,Gérard Mordillat
5116,Thomas A. Cohen
25165,David 'Tosh' Gitonga
17490,David VonAllmen
25347,Van Ling
3420,Robert Lamoureux
10675,Rachel Gordon
8667,Jennifer Leitzes
31520,Graham Skipper
3522,Paul Hunt
8001,Kevin Meyer
30025,Kate Mulleavy
3317,Lawrence Dobkin
29776,Thomas J. Churchill
19566,Ellen Seidler
20345,Joe Leonard
30141,Alberto G. Rodriguez
443,Jack Raymond
13637,Linus Torell
32468,Dan Gregor
27432,Yûichirô Sakashita
33381,Nick Rapuano
12437,Tony Ayres
22195,Leigh Dovey
25054,Franziska Schlotterer
33420,Steven Perez
240,Paul Sloane
4711,John Richardson
1873,Claude Alexander
26363,George Loomis
27827,Amariah Olson
31480,Ezra Tsegaye
6720,James Riffel
13386,Han Lee
25359,Johnathan Gurfinkel
28024,Pramod Payyanur
4703,Sándor Szönyi G.
15371,Dan Svátek
20045,Hong-jin Na
33461,Carol Damgen
13851,Rocco DeVilliers
14372,Vincent Rocca
14646,Shih-Ching Tsou
9985,Ernst Wild
16119,John Harlacher
19084,Arno Dierickx
5655,Priyadarshan
31196,Hong-jin Mo
16150,N. Krishna
19382,Joost van Hezik
14640,Christian Vuissa
7690,Scooter McCrae
23723,Peter Hutchings
8414,Stavros Kazantzidis
32183,Tae-hwa Eom
33622,Yuzuru Tachikawa
2548,Lou Campa
32205,Lei Yang
11595,Guy Fergusson
2375,Robert Sparr
18006,Barthélémy Grossmann
2475,Jorge Sanjinés
22297,Nick Lentz
27092,Daniel Augusto
24981,Sebastian Bartolitius
20763,Sastry Ajay
14357,David B. Stewart III
12853,Ashok Mehta
24565,Robin Lough
2143,Edwin Zbonek
13998,Ivo Trajkov
29788,Preston Peterson
22709,Vicente Villanueva
5299,Mel Damski
24224,George D. Escobar
12050,Christopher Panov
20808,Che Sandoval
28459,P. Arokiyadoss
16298,Bingjian Zhang
18929,Adrian Sitaru
2461,Henning Carlsen
18013,Yuliy Gusman
8600,Mark Waters
16527,Anna Kazejak
33183,Giselle Andres
15535,Martin Jern
18698,Alon Gur Arye
26982,Devika Bhagat
21311,Jesse Holland
7018,Mohamed Malas
20279,Boyani Subbarao
11432,Bart Patton
20418,Seth Rogen
28035,J.Q. Lee
10517,Nikos Zervos
9650,Satoshi Kon
5583,Franco Amurri
21475,Tobias Lindholm
21478,Maria Beatty
20494,Dariusz Jablonski
1752,Ib Melchior
34148,Zach Lorkiewicz
25055,Sharon Bar-Ziv
18087,Manuel Sicilia
27059,Glenn Miller
5839,Steve Jodrell
9623,Alison Swan
8316,Hans-Christian Schmid
20761,Brandon Trost
4540,K. Balachander
12449,Lawrence Gay
27588,Dante
14393,Ian Gabriel
33301,Jacob Akira Okada
34143,Mushtaq Pasha
15432,Roshan Andrews
29919,Valentine
18964,Tôichirô Rutô
33130,Matthew Brown
25999,Keiko Tsuruoka
34034,Jean-Bernard Marlin
12007,Ilija Stanojevic-Cica
5151,James Foley
22552,John-Roger
3442,Yang-Ming Tsai
19514,Salvador Espinosa
30896,Shiv Mohaa
8186,Joseph Lawson
23144,Hristos Nikoleris
13620,Albert Ter Heerdt
18942,Cengiz Özkarabekir
21303,Andrey Khrzhanovskiy
29235,Stephen Biro
30018,Murat Senoy
8570,Lewis Baumander
15762,Christopher Weekes
4163,Robert S. Fiveson
25252,David Andalman
30855,Luo Luo
3935,Chi Lo
1340,Edoardo Anton
23377,Amiel Courtin-Wilson
32171,Coline Assous
18202,Vladimiros Kiriakidis
13304,Damian Nieman
14921,Ra'up McGee
7510,Mina Shum
33558,Jafar Akhundzade
20610,Bahadir Karatas
28423,Jim Lane
3050,Philip S. Gilbert
27619,Nathan Gabaeff
14819,Naoko Ogigami
12738,Stratos Tzitzis
16967,Sergey Nikonenko
18660,Bruno Garotti
18948,Lina Chamie
13245,S.A. Chandrashekhar
22011,Jeoff Hanser
33064,Arielle Dombasle
14446,Chazz Palminteri
23710,Yi-chi Lien
17220,Matthew Porterfield
33036,Ian Lagarde
33667,Martín Rodríguez Redondo
12541,Gabriela David
6045,Olli Soinio
26139,Juan Carlos Saizarbitoria
15090,Greg McLean
10158,Hitoshi Ozawa
31635,Sergio G. Sánchez
34375,Petr Kolecko
34199,Vladimir Nikolaev
12979,Marc Ickx
13667,Jannik Johansen
4863,Yigong Wu
9089,Jim Makichuk
7133,Alfredo Ringel
24017,Ramaa Mosley
17138,Mike Watt
10428,Narayana Rao Dasari
23196,Joel Fendelman
13796,Jingda Xu
31402,Stuart McKenzie
12716,Perry Andelin Blake
31640,Johnpaul George
33109,György Mór Kárpáti
29218,Ioneide Lima
26427,Anthony Wilcox
19349,Christian Johannesson
24077,Ajay Bhuyan
32058,Giannis Korres
30460,Yorgos Zois
21904,Robert Heath
33714,Anton Zenkovich
8703,Andrew Chapman
7955,John O'Brien
22153,Jourdan McClure
19242,Steven Peros
34059,Laura Madalinski
27848,Yûki Aoyama
30265,Jianrong Zhuo
26796,Jericca Cleland
4920,Junji Kurata
12714,Tae-gyun Kim
1968,Stanislaw Bareja
