KeywordsInMovieId,KeywordsId,MovieId
1,1,1
2,2,2
3,3,2
4,4,2
5,4,3
6,4,4
7,5,4
8,6,5
9,4,5
10,7,5
11,2,6
12,4,6
13,2,7
14,4,7
15,1,7
16,4,8
17,5,8
18,5,9
19,8,9
20,4,10
21,4,11
22,3,12
23,4,12
24,4,13
25,3,14
26,4,14
27,4,15
28,4,16
29,8,16
30,3,17
31,4,17
32,9,17
33,4,18
34,4,19
35,7,19
36,10,19
37,3,20
38,4,20
39,6,21
40,4,21
41,4,22
42,3,23
43,4,23
44,10,23
45,11,24
46,6,25
47,4,25
48,5,25
49,7,26
50,4,26
51,3,27
52,4,27
53,3,28
54,4,28
55,12,29
56,10,30
57,4,31
58,9,31
59,13,32
60,7,32
61,6,32
62,4,33
63,4,34
64,5,34
65,4,35
66,6,36
67,13,36
68,7,36
69,14,37
70,6,37
71,4,37
72,14,38
73,4,38
74,1,38
75,4,39
76,12,40
77,4,41
78,4,42
79,11,43
80,12,44
81,4,44
82,4,45
83,1,45
84,3,46
85,4,46
86,6,47
87,13,47
88,7,47
89,4,48
90,5,48
91,8,48
92,4,49
93,4,50
94,1,50
95,4,51
96,5,51
97,8,51
98,4,52
99,4,53
100,3,54
101,4,54
102,10,54
103,4,55
104,6,56
105,4,57
106,5,57
107,8,57
108,4,58
109,4,59
110,4,60
111,7,60
112,10,60
113,2,61
114,3,61
115,4,61
116,14,62
117,6,62
118,3,62
119,12,63
120,14,64
121,6,64
122,15,64
123,4,65
124,4,66
125,4,67
126,12,68
127,3,68
128,4,68
129,6,69
130,12,69
131,3,70
132,4,70
133,1,71
134,11,71
135,3,72
136,4,72
137,1,72
138,11,73
139,1,74
140,11,74
141,12,75
142,12,76
143,4,76
144,1,76
145,4,77
146,5,77
147,6,78
148,3,78
149,12,79
150,1,79
151,4,80
152,7,80
153,10,80
154,14,81
155,12,81
156,4,81
157,14,82
158,6,82
159,1,82
160,12,83
161,9,84
162,4,85
163,7,86
164,1,86
165,12,87
166,4,87
167,4,88
168,4,89
169,4,90
170,11,90
171,11,91
172,2,92
173,4,92
174,5,92
175,10,93
176,12,94
177,6,95
178,7,95
179,15,95
180,6,96
181,4,96
182,5,96
183,4,97
184,1,97
185,8,97
186,4,98
187,4,99
188,6,100
189,12,100
190,11,100
191,2,101
192,4,101
193,5,101
194,12,102
195,4,102
196,13,102
197,6,103
198,3,103
199,1,103
200,12,104
201,4,104
202,6,105
203,12,105
204,4,105
205,4,106
206,11,107
207,4,108
208,5,108
209,1,108
210,4,109
211,8,109
212,12,110
213,12,111
214,6,112
215,12,112
216,4,112
217,4,113
218,12,114
219,11,114
220,1,114
221,12,115
222,1,115
223,4,116
224,4,117
225,10,117
226,4,118
227,13,119
228,7,119
229,1,120
230,4,121
231,4,122
232,12,123
233,4,124
234,1,124
235,4,125
236,8,125
237,11,126
238,12,127
239,1,127
240,12,128
241,4,128
242,4,129
243,12,130
244,4,130
245,4,131
246,12,132
247,1,132
248,4,133
249,1,133
250,4,134
251,12,135
252,8,135
253,4,136
254,14,137
255,6,137
256,6,138
257,9,138
258,4,139
259,8,139
260,4,140
261,3,141
262,4,141
263,5,141
264,4,142
265,5,142
266,1,142
267,12,143
268,14,144
269,3,144
270,6,145
271,1,145
272,11,145
273,4,146
274,16,146
275,8,146
276,4,147
277,1,147
278,4,148
279,1,148
280,4,149
281,17,149
282,12,150
283,4,150
284,12,151
285,4,151
286,12,152
287,4,153
288,4,154
289,12,155
290,4,156
291,6,157
292,4,157
293,4,158
294,6,159
295,12,159
296,1,159
297,4,160
298,1,160
299,4,161
300,5,161
301,12,162
302,12,163
303,1,163
304,4,164
305,4,165
306,10,165
307,8,165
308,7,166
309,10,166
310,9,166
311,6,167
312,4,167
313,12,168
314,4,169
315,4,170
316,4,171
317,5,171
318,10,171
319,4,172
320,12,173
321,7,173
322,12,174
323,4,174
324,17,174
325,6,175
326,1,175
327,11,175
328,4,176
329,1,176
330,6,177
331,11,177
332,4,178
333,1,178
334,12,179
335,4,179
336,1,179
337,7,180
338,10,180
339,9,180
340,4,181
341,1,181
342,11,182
343,14,183
344,12,183
345,1,183
346,4,184
347,3,184
348,12,185
349,7,186
350,15,186
351,2,187
352,4,187
353,1,187
354,4,188
355,3,188
356,6,189
357,7,189
358,9,189
359,4,190
360,4,191
361,10,191
362,15,191
363,12,192
364,1,192
365,3,193
366,4,193
367,1,193
368,12,194
369,4,195
370,10,196
371,7,197
372,10,197
373,2,198
374,12,198
375,4,198
376,4,199
377,4,200
378,4,201
379,4,202
380,12,203
381,4,203
382,11,203
383,4,204
384,4,205
385,12,206
386,1,206
387,14,207
388,6,207
389,4,207
390,12,208
391,1,208
392,4,209
393,6,210
394,1,210
395,11,210
396,4,211
397,6,212
398,12,212
399,1,212
400,4,213
401,13,214
402,12,214
403,4,214
404,12,215
405,4,215
406,10,215
407,4,216
408,12,217
409,12,218
410,11,218
411,12,219
412,4,220
413,4,221
414,6,222
415,12,223
416,4,223
417,1,223
